Provider,Loan / Financing Size,Tenure of Financing,,
AGROBANK,"RM1,000 - RM50,000",3 months – 5 years,,
BANK RAKYAT,"RM1,000 - RM50,000",1 months – 5 years,,
BANK SIMPANAN NASIONAL,"RM5,000 - RM50,000",1 – 5 years,,
"ALLIANCE BANK & ALLIANCE
ISLAMIC","RM5,000 - RM50,000",1 - 7 years,,
AMBANK & AMBANK ISLAMIC,"AmMicro Enterprises Facility
RM5,000 - RM50,000
AmMoneyLine Facility-i
RM2,000 - RM50,000
Up to RM10,000 (for iTEKAD participants)",1 – 5 years,,
CIMB ISLAMIC BANK,"RM3,000 - RM50,000",6 months - 5 years,,
BANK ISLAM,"iTEKAD Majuicrofinance
RM10,000 -
RM50,000
iTEKAD BangKIT Microfinance
RM5,000 – RM20,000",1 - 5 years,,
BANK MUAMALAT,"RM5,000 – RM50,000",Up to 7 years,,
MAYBANK & MAYBANK ISLAMIC,"RM3,000 – RM50,000",1 - 5 years,,
PUBLIC BANK & PUBLIC ISLAMIC,"RM3,000 - RM50,000",1 - 5 years,,
UNITED OVERSEAS BANK,"RM5,000 - RM50,000",1 - 5 years,,
